title,artist,the genre of the track,year,Beats.Per.Minute -The tempo of the song,"Energy- The energy of a song - the higher the value, the more energtic","Danceability - The higher the value, the easier it is to dance to this song","Loudness/dB - The higher the value, the louder the song","Liveness - The higher the value, the more likely the song is a live recording","Valence - The higher the value, the more positive mood for the song",Length - The duration of the song,Acousticness - The higher the value the more acoustic the song is,Speechiness - The higher the value the more spoken word the song contains,Popularity- The higher the value the more popular the song is
Hey Soul Sister,Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73